chunk_id,speech_id,leader,language,speech_date,speech_type,source,chunk_index,n_chunks_in_speech,relative_position,chunk_text,token_count,word_count,paragraph_indices,is_short
erdogan1_c012,erdogan1,erdogan,tr,,symposium_speech,,12,13,1.0,"Yasama organı ve orada görev yapan milletvekilleri yeni sistemde sadece Asli işlerine odaklanacak lardır.

Yürütme ile yasamayı kesin hatlarıyla ayıran yeni sistemle birlikte tüm milletvekilleri meclis çalışmalarına yoğunlaşacak lardır.",75,29,23;24,True
erdogan2022_c000,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,0,18,0.0,"Aziz Milletim,

Hepinizi en kalbi duygularımla, muhabbetle selamlıyorum.

Bugün sadece bir yılı bitirip, yeni bir yılı karşılamakla kalmıyor, aynı zamanda Cumhuriyetimizin ilk yüzyılını geride bırakıp yeni yüzyılına adım atacağımız bir döneme giriyoruz.",85,32,0;1;2,False
erdogan2022_c001,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,1,18,0.059,"Milli mücadelenin 100’üncü yıl anmalarına, 2019’da Samsun’la başladık.

Esasen, Cumhuriyetin ilanına kadar geçen 4 yıllık dönemdeki her 100’üncü yıl anmasını, hep beraber coşkulu bir şekilde yaşamayı ümit ediyorduk.",82,28,3;4,False
erdogan2022_c002,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,2,18,0.118,"Bunun için çok ciddi hazırlıklar da yapmıştık.

Ancak, kovid-19 salgını çerçevesinde uygulanan tedbirler, bizi bu dönemi daha sade anma törenleriyle geçirmeye mecbur bıraktı.

Öyle ki, Büyük Millet Meclisinin açılışının 100’üncü yılında dahi tebrik mesajlarıyla yetinmek durumunda kaldık.",102,37,5;6;7,False
erdogan2022_c003,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,3,18,0.176,"Hamdolsun bu sıkıntılı günleri geride bıraktık.

Cumhuriyetimizin kuruluşunun 100’üncü yılının sevincini, inşallah, 29 Ekim 2023’te hayal ettiğimiz şekilde coşkuyla yaşayabileceğiz.

Ayrıca 2023, milletimize 12 yıl önce verdiğimiz bir sözün de miladıdır.",97,31,8;9;10,False
erdogan2022_c004,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,4,18,0.235,"Ülkemizin en iddialı demokrasi ve kalkınma vizyonlarından biri olan 2023 hedeflerimizi milletimizin takdirine sunup onayını aldığımız 2011 seçimlerinden beri, bu sözümüzü yerine getirmek için gece gündüz çalıştık.

Türkiye’nin 2023 hedeflerini ilan etmesinden hemen sonra başlayan ve bugüne kadar kesintisiz süren hadiseler, bir yönüyle de, bu adımla ne kadar çok güç odağını ürküttüğümüzün ifadesidir.",143,53,11;12,False
erdogan2022_c005,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,5,18,0.294,"Her ikisi de 2013’te yaşanan Gezi olaylarından 17-25 emniyet-yargı darbe girişimine…

PKK’nın çukur eylemlerinden DEAŞ’ın sınırlarımızı tacizine…

15 Temmuz 2016’daki darbe teşebbüsünden 2018’de ekonomimizi hedef alan uluslararası sabotaja kadar…",100,29,13;14;15,False
erdogan2022_c006,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,6,18,0.353,"Dört bir yandan sayısız saldırıya maruz kaldığımız bu kritik dönemde, verdiğimiz çok yönlü mücadele yanında, 2023 hedeflerimizden de asla geri adım atmadık.

Tam tersine;

Milli birlik ve beraberliğimizi güçlendirerek…

Terörle mücadele stratejimizi tehditleri kaynağında yok etme yönünde genişleterek…",96,38,16;17;18;19,False
erdogan2022_c007,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,7,18,0.412,"Teröristleri açtıkları çukurlara gömerek…

Darbecilerin başını ezerek…

Ekonomik tetikçileri kendi programlarımızla hüsrana uğratarak…

Küresel krizleri fırsata dönüştürmek için ülkemizin kaynaklarını tam kapasite harekete geçirerek…

Velhasıl beraberce var gücümüzle mücadele ederek, 2023 hedeflerimizin kılavuzluğunda yolumuza hep devam ettik.",116,37,20;21;22;23;24,False
erdogan2022_c008,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,8,18,0.471,"Hiç şüphesiz, 2021’in son aylarında başlayıp 2022 boyunca süren ekonomik sıkıntılar, hepimizin canını sıkmıştır.

Küresel salgını ve arkasından başlayan Rusya-Ukrayna savaşının yol açtığı ekonomik sarsıntıyı kaldırmakta zorlanan dünyadaki olumsuz gelişmeler, ister istemez bizi de etkilemiştir.",109,35,25;26,False
erdogan2022_c009,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,9,18,0.529,"Ancak bu süreçte Türkiye’yi, gelişmiş ülkeler başta olmak üzere dünyadan ayıran en önemli özellik, istihdamdan ve üretimden taviz vermeyen ekonomi modeli olmuştur.

Evet, bu ülkede bir hayat pahalılığı yaşanmıştır.

Ama vicdan sahibi herkes kabul edecektir ki, aynı zamanda bu ülke tarihinin en yüksek istihdam oranına, en yüksek üretim gücüne, en yüksek ihracat rakamına da aynı dönemde ulaşmıştır.",115,57,27;28;29,False
erdogan2022_c010,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,10,18,0.588,"Bir başka ifadeyle, biz milletimizi hayat pahalılığı karşısında yalnız bırakmadık, kendi kaderine terk etmedik.

Bunun yerine;

İstihdamı artırarak herkesin gelir sahibi olmasını sağladık…

Çalışanların refah kayıplarını yüksek oranlı artışlarla telafi etmeye çalıştık…",85,32,30;31;32;33,False
erdogan2022_c011,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,11,18,0.647,"Çarkların durmaması için sanayi ve ticaret erbabını sürekli destekledik.

Şayet bugün Türkiye, yaşadığı onca saldırıya, dünyayı kasıp kavuran onca krize rağmen hala dimdik ayaktaysa, bunu verdiğimiz kararlı mücadeleye, uyguladığımız özgün siyaset ve ekonomi politikasına borçludur.",92,35,34;35,False
erdogan2022_c012,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,12,18,0.706,"Uluslararası krizlerde sağduyulu, soğukkanlı, barış ve itidal yanlısı tutumuyla, müzmin hasımları dahil herkesin saygısını kazanan Türkiye gerçeğini kimse inkar edemez.

Dünya enerji kriziyle boğuşurken, bizim kendi keşiflerimizle, uluslararası tedarik ve ticaret hatlarının merkezi haline gelen konumumuzla, biz kendimizi farklı bir yere taşıdık.",115,42,36;37,False
erdogan2022_c013,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,13,18,0.765,"Terör örgütlerinin şehirlerimizi hedef alan eylemlerinin ülkemize yönelik şantaj aracı haline getirildiği günlerden, sınırımızın onlarca, bazen yüzlerce kilometre ötesinde operasyonlar yürütebildiğimiz bir seviyeye geldik.

Ülkemizin neresine gidersek gidelim yüzlerce fabrikanın inşaatının yükseldiğini, açılışının yapıldığını, yurt içine ve dışına harıl harıl mal sevk edildiğini görüyoruz.",131,44,38;39,False
erdogan2022_c014,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,14,18,0.824,"Turizmde kayıplarımızı telafi etmekle kalmayıp, tarihimizin en yüksek gelir seviyesine ulaştığımız bir sezonu bitiriyoruz.

Hangi alana bakarsanız bakın benzer fotoğraflar göreceksiniz.

Altını çizerek tekrar ifade etmek isterim ki, 2022’yi de, tıpkı son 20 yılımız gibi sıkıntılarımızdan daha büyük kazançlarımızla kapattık.",116,40,40;41;42,False
erdogan2022_c015,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,15,18,0.882,"İnşallah 2023’te ülkemizde, Türkiye Yüzyılı vizyonumuzla, Cumhuriyetimizin yeni asrına yakışır çok daha büyük bir atılımı başlatacağız.

Artık hedefimiz, küresel siyasi ve ekonomik ligin en üst dilimine girmek değildir.",81,28,43;44,False
erdogan2022_c016,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,16,18,0.941,"Hedefimiz, en üst dilimin de ilk sıralarında yer alacak siyasi ve ekonomik güce kavuşmaktır.

Geçtiğimiz 20 yılda ülkemize kazandırdığımız demokrasi ve kalkınma altyapısını, bu büyük hamlenin temeli, başlangıcı, besmelesi olarak görüyoruz.",86,31,45;46,False
erdogan2022_c017,erdogan2022,erdogan,tr,2022-12-31,new_year_message,,17,18,1.0,"Yani, yeni başlıyoruz.

Amacımız, bu başlangıcı en iyi ve etkin şekilde yaparak, gençlerimize Türkiye Yüzyılını, hedeflerimize, hayallerimize, medeniyet ve tarih mirasımıza uygun şekilde başarıya ulaştırabilecekleri bir ülke bırakmaktır.

Bu duygularla geride bıraktığımız 2022’yi uğurluyor, 2023’te milletimizin her bir ferdine ve tüm insanlığa barış, huzur, refah, esenlik dolu bir yıl diliyorum.

Allah’a emanet olun.

Kalın sağlıcakla…",154,55,47;48;49;50;51,False
erdogan2023_c000,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,0,19,0.0,"Aziz Milletim,

Hepinizi en kalbi duygularımla, muhabbetle selamlıyorum.

Bu gece 2023 yılını tamamlıyor, 2024 yılına adım atıyoruz.

Yeni takvim yılının, ülkemiz, milletimiz ve tüm insanlık için hayırlara vesile olmasını diliyorum.",82,30,0;1;2;3,False
erdogan2023_c001,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,1,19,0.056,"Aslında her yeni yılın; sevinçle, umutla ve heyecanla karşılanması gerektiğine inanıyoruz.

Ancak, bu yeni yıla, hem bölgemizdeki ve dünyadaki olumsuzluklar, hem de geçtiğimiz günlerde verdiğimiz şehitlerimiz sebebiyle, buruk bir şekilde giriyoruz.",86,31,4;5,False
erdogan2023_c002,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,2,19,0.111,"İnsanlığın tamamı için daha güzel, daha huzurlu, daha müreffeh bir gelecek umudumuzu elbette muhafaza ediyoruz.

Bunun için önce, sözde demokrat ve özgürlükçü ülkelerin eli kanlı terör örgütlerine verdikleri destekleri kestiğini görmemiz gerekiyor.",82,32,6;7,False
erdogan2023_c003,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,3,19,0.167,"Bunun için önce, Gazze’de masum çocukların, kadınların katledilmesine karşı tüm ülkelerin ve kurumların ortak tavır aldığını görmemiz gerekiyor.

Bunun için önce, Rusya-Ukrayna savaşı başta olmak üzere, bireyleri acıya boğan ve ülkelerin kaynaklarını heba eden çatışmaların durdurulması için adil ve samimi çaba gösterildiğini görmemiz gerekiyor.",113,44,8;9,False
erdogan2023_c004,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,4,19,0.222,"Bunun için önce, asırlardır sömürülen ve onurları çiğnenen toplumların zenginliklerinin kendi gelecekleri, refahları, güvenlikleri için kullanıldığını görmemiz gerekiyor.

Velhasıl, umutları fiiliyata dönüştürmek için dünyadaki tüm ülkelerin, kurumların, fertlerin ortak değerler ve ilkeler etrafında bütünleşmesini temin etmemiz gerekiyor.",111,37,10;11,False
erdogan2023_c005,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,5,19,0.278,"Türkiye olarak biz, bu dünya fotoğrafında farklı bir yeri, farklı bir misyonu, farklı bir anlayışı temsil ediyoruz.

Devlet ve millet olarak biz, sadece kendi güvenlik ve refah çabamızı neticeye ulaştırma mücadelesi vermekle kalmıyoruz.

Dünyaya ve bölgemize huzur iklimi hâkim olmadan bizim de huzur bulamayacağımız anlayışıyla, herkes için aynı standartları diliyoruz.",115,50,12;13;14,False
erdogan2023_c006,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,6,19,0.333,"Bu anlayışla;

Bölgemizdeki barış çabalarını neticeye ulaştırmaya çalışıyoruz.

Dostlarımızla ilişkilerimizi her alanda geliştiriyoruz.

Kardeşlerimizin dertleriyle dertleniyoruz.

Dünyayı daha iyi, daha adil, daha müreffeh bir geleceğe hazırlamaya dönük her çabaya destek veriyoruz.",98,31,15;16;17;18;19,False
erdogan2023_c007,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,7,19,0.389,"Cumhuriyetimizin ilk asrını bitirip, Türkiye Yüzyılı dediğimiz yeni asrına ayak bastığı bir dönemde, daha büyük hedeflere yönelirken, azmimizi ve gayretimizi sürekli perçinliyoruz.

Zalimin zulmünün ilanihaye sürüp gitmeyeceğine inanıyoruz.",83,28,20;21,False
erdogan2023_c008,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,8,19,0.444,"Adaletsiz ve dengesiz küresel yönetim sisteminin son çırpınışlarını yaşadığına inanıyoruz.

Mazlumların sesinin derinden derine tüm dünyayı sardığına, bu çığlıkların büyüyerek insanlığın ortak vicdanı haline dönüşeceğine inanıyoruz.

Nitekim, Türkiye’nin kendi vatandaşları, dostları ve kardeşleriyle birlikte, insanlığın tamamına hitap eden beyan ve tutumlarının, gönüllerde giderek daha fazla mâkes bulduğunu görüyoruz.",125,48,22;23;24,False
erdogan2023_c009,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,9,19,0.5,"Aziz Milletim…

Elbette bu meşakkatli yolda sürekli yeni sınamalarla, yeni sıkıntılarla, yeni engellerle de karşılaşıyoruz.

Terörle mücadeleden ekonomik tuzaklara kadar pek çok alanda yaşadığımız sorunların temelinde, büyük ve güçlü Türkiye’nin inşasını engelleme amacı vardır.",87,34,25;26;27,False
erdogan2023_c010,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,10,19,0.556,"Ülke olarak biz kendi potansiyelimizi ve imkânlarımızı etkin şekilde kullanmayı sürdürdükçe, bu mücadele daha da sertleşecektir.

Çünkü Türkiye’nin büyümesi demek, asırlardır bizim tökezlememiz sayesinde dört bir yanımızda rahatça at koşturanların hesaplarının bozulması demektir.",89,33,28;29,False
erdogan2023_c011,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,11,19,0.611,"Bizim güçlenmemiz demek, kendi refah ve güvenlikleri için diğer herkesi araç olarak kullananların, sömürenlerin, ezenlerin düzenlerinin sonuna gelinmesi demektir.

Bizim sesimize daha çok kulak verilmesi demek, dünyanın her yerindeki hak, adalet, özgürlük ve vicdan arayışlarının güçlenmesi demektir.",93,37,30;31,False
erdogan2023_c012,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,12,19,0.667,"Milletimiz, tarihinin hiçbir döneminde, kendi hedeflerine ulaşmak için bedel ödemekten, fedakârlık yapmaktan, elini taşın altına koymaktan çekinmedi.

Son 21 yılda yaşadığımız nice kritik hadise karşısında milletimizin sergilediği güçlü duruş, kararlılığın bugün de devam ettiğini gösteriyor.",94,35,32;33,False
erdogan2023_c013,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,13,19,0.722,"Evet, buradan bir kez daha tekrarlamak istiyorum.

Milletimiz birliğine, beraberliğine, kardeşliğine sahip çıktıkça, Allah’ın izniyle bizi kimse bölemeyecektir.

Devletimiz 2023 hedeflerinin bir sonraki safhası olan Türkiye Yüzyılı vizyonunu hayata geçirdikçe, Allah izniyle ayyıldızlı bayrağımızın yükselişi hep sürecektir.",116,37,34;35;36,False
erdogan2023_c014,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,14,19,0.778,"Siyasi, ekonomik, askeri, diplomatik başarılarımızla dostlarımıza güven, düşmanlarımıza korku vermeye devam ettikçe, önümüzdeki sisler giderek dağılacaktır.

Velhasıl biz istiklalimizden ve istikbalimizden taviz vermedikçe, kimse kutlu yürüyüşümüzün önüne geçemeyecektir.",94,28,37;38,False
erdogan2023_c015,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,15,19,0.833,"Geçmişte, emperyalistlerin birer aracı olarak başımıza musallat edilen vesayet güçleriyle, darbecilerle, terör örgütleriyle, siyasi ve sosyal mühendislik projeleriyle çok vakit, çok enerji, çok insan kaybettik.

Artık bu numaralara karnımız tok olduğu gibi, böyle ağır faturalar ödemeye niyetimiz de yok.",98,39,39;40,False
erdogan2023_c016,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,16,19,0.889,"Ülkemizi kendi iç mücadeleleriyle meşgul ederek, tarihi mirasından ve sahip olması gereken imkânlardan mahrum edenlerle yollarımızı ayıralı çok oldu.

Her fırsatta tekrarladığımız, “TEK MİLLET, TEK BAYRAK, TEK DEVLET, TEK VATAN” düsturumuzun anlamı işte budur.",98,34,41;42,False
erdogan2023_c017,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,17,19,0.944,"İnşallah 2024, darbe girişimiyle başlayıp kKovid-19 salgınıyla büyüyen, bölgemizdeki çatışmalarla derinleşen sıkıntılı dönemden kurtulup, hedeflerimize kilitlendiğimiz bir yıl olacaktır.

Küresel krizlerin artarak sürdüğü bir dönemde, biz farkımızı bir kez daha göstererek, üreten, istihdam eden, büyüyen, gelişen Türkiye’nin yıldızını yükselteceğiz.",125,39,43;44,False
erdogan2023_c018,erdogan2023,erdogan,tr,2023-12-31,new_year_message,,18,19,1.0,"Evet, 2023 hedefleri başlangıçtı; asıl çıkışımızı Türkiye Yüzyılıyla, 2024’le birlikte başlatıyoruz.

Bu mücadeleyi de, sizlerin desteğiyle zafere ulaştıracağımıza yürekten inanıyoruz.

Bu duygularla bir kez daha yeni takvim yılının milletimizin tüm fertlerine ve insanlığa hayırlı olmasını diliyorum.

Hepinizi sevgiyle, saygıyla selamlıyorum.

Kalın sağlıcakla…",126,42,45;46;47;48;49,False
erdogan2024_c000,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,0,16,0.0,"Aziz Milletim…

Hepinizi en kalbi duygularımla, muhabbetle selamlıyorum.

Bugün 2024’e veda ediyor; yeni umut, beklenti ve hayallerle 2025 senesini karşılıyoruz.

Öncelikle yeni miladi yılın ülkemiz, milletimiz, gönül coğrafyamız ve tüm insanlık için hayırlara vesile olmasını Rabbimden niyaz ediyorum.",112,38,0;1;2;3,False
erdogan2024_c001,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,1,16,0.067,"Geçtiğimiz yıl boyunca istiklal ve istikbalimiz uğrunda toprağa düşen tüm şehitlerimizi rahmetle yad ediyor, gazilerimize şükranlarımı sunuyorum.

Millet olarak, 2025 yılında birliğimizi, beraberliğimizi, dayanışmamızı inşallah daha da güçlendirecek, birbirimize daha sıkı kenetleneceğiz.",106,32,4;5,False
erdogan2024_c002,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,2,16,0.133,"Geride bıraktığımız 2024 senesi, ülkemiz içinde ve bölgemizde pek çok kritik gelişmeye sahne oldu.

Mahallî İdareler Seçimlerini, tam bir demokrasi şöleni havasında, Türk demokrasisinin olgunluğunu tüm dünyaya yeniden gösterdiğimiz bir iklimde, hamdolsun, başarıyla gerçekleştirdik.",98,34,6;7,False
erdogan2024_c003,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,3,16,0.2,"Milletimizin iradesi sandıkta özgürce tecelli ederken, kazanan demokrasimizle birlikte yine 85 milyon vatandaşımızın tamamı oldu.

Tercihleri ne olursa olsun, seçim sandıklarını birer bayram yerine çeviren vatandaşlarıma bugün bir kez daha teşekkür ediyorum.",85,32,8;9,False
erdogan2024_c004,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,4,16,0.267,"Seçimlere ve bölgemizde patlak veren yeni krizlere rağmen, kararlılıkla uyguladığımız ekonomi programımızın meyvelerini toplamaya başladık.

İstihdamda, ihracatta, üretimde, turizmde, savunma sanayiinde ve diğer alanlarda çok önemli başarılara imza attık.",93,29,10;11,False
erdogan2024_c005,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,5,16,0.333,"Deprem bölgemizi yeniden ayağa kaldırma çalışmalarımızda ciddi mesafe kat ettik; yeni yılda bu çalışmalar daha da hızlanacak.

Enflasyondaki düşüşün, özellikle yılın son aylarında artarak devam etmesi, 2025 yılı hedeflerimize ulaşacağımızı teyit ediyor.",82,32,12;13,False
erdogan2024_c006,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,6,16,0.4,"Vatandaşımızın refah kaybını telafi edecek, alım gücünü artıracak politikalara ağırlık vermek suretiyle, inşallah daha iyi yerlere geleceğiz.

Konut, kira ve gıda başta olmak üzere, fahiş fiyatlarla milletin ekmeğine göz diken fırsatçılarla mücadelemizi 2025 senesinde de kararlılıkla devam ettireceğiz.",110,38,14;15,False
erdogan2024_c007,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,7,16,0.467,"Vatandaşlarımdan, geçmişte Türkiye’ye çok ağır faturalar ödetmiş popülist söylemlere prim vermemelerini özellikle istirham ediyorum.

Son 22 yılda bu ülkenin ve milletin tüm meselelerini nasıl biz çözdüysek, ekonomideki konjonktürel sıkıntıların üstesinden de yine biz geleceğiz.",93,34,16;17,False
erdogan2024_c008,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,8,16,0.533,"Doğru yoldayız; Allah’ın izniyle hedeflerimize de ulaşacağız.

Sizlerden sadece biraz daha sabır, metanet ve anlayış istiyoruz.

Aziz Milletim…

2024 senesinin son haftaları, köklü tarihi, beşeri ve komşuluk ilişkilerimizin bulunduğu Suriye’de yeni bir dönemin kıvılcımı oldu.",101,35,18;19;20;21,False
erdogan2024_c009,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,9,16,0.6,"Yeni dönemin Suriye’de kalıcı barışa, huzura, istikrara ve ekonomik refaha kapı aralaması için gereken her türlü desteği sağlayacağız.

Suriye’de istikrar ortamı kök saldıkça, inanıyorum ki, 13 yıldır vatan hasreti çeken Suriyeli muhacirlerin gönüllü geri dönüşü de kolaylaşacaktır.",101,37,22;23,False
erdogan2024_c010,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,10,16,0.667,"Bu süre boyunca “Ensar Millet” olmanın en güzel örneklerini sergileyen tüm vatandaşlarımdan “Allah razı olsun” diyorum.

Gazze’deki katliamlara ilk günden itibaren en güçlü tepkiyi veren, vicdanlı ve adaletli duruşunu her platformda ortaya koyan ülke konumundayız.",87,35,24;25,False
erdogan2024_c011,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,11,16,0.733,"Gazze’de ve diğer Filistin topraklarında 15 aydır devam eden katliamların son bulması, burada da barışın tesisi için yoğun gayret sarf ediyoruz.

Başkenti Doğu Kudüs olan, 1967 sınırları temelinde özgür, egemen ve toprak bütünlüğüne sahip bir Filistin Devletinin kurulması için 2025 yılında da tüm gücümüzle çalışacağız.",113,45,26;27,False
